Country,Pred_len,Iteration,MSE,RMSE,MAE
DE,24,1,0.0210769884288311,0.1451791524887085,0.08827455341815948
DE,24,2,0.02107721008360386,0.14517992734909058,0.08822928369045258
DE,96,1,0.03713487833738327,0.19270412623882294,0.12742400169372559
DE,96,2,0.03818440064787865,0.19540829956531525,0.1286640465259552
DE,168,1,0.039771974086761475,0.19942912459373474,0.13522249460220337
DE,168,2,0.03952934965491295,0.19881989061832428,0.13488918542861938
GB,24,1,0.025700200349092484,0.16031281650066376,0.10062122344970703
GB,24,2,0.02568984590470791,0.1602805256843567,0.10096710920333862
GB,96,1,0.043783560395240784,0.2092452198266983,0.14234068989753723
GB,96,2,0.04229957237839699,0.2056685984134674,0.14037492871284485
GB,168,1,0.04548247531056404,0.21326620876789093,0.14744102954864502
GB,168,2,0.0455465130507946,0.21341629326343536,0.14833343029022217
ES,24,1,0.009931187145411968,0.09965534508228302,0.06039450317621231
ES,24,2,0.009954366832971573,0.09977157413959503,0.060390934348106384
ES,96,1,0.018780911341309547,0.13704346120357513,0.08786552399396896
ES,96,2,0.018756497651338577,0.13695436716079712,0.0876128226518631
ES,168,1,0.021249037235975266,0.14577049016952515,0.09379277378320694
ES,168,2,0.02081207185983658,0.14426389336585999,0.09354054182767868
FR,24,1,0.010159791447222233,0.10079579055309296,0.05582056939601898
FR,24,2,0.010225766338407993,0.10112252831459045,0.055992696434259415
FR,96,1,0.019104918465018272,0.13822054862976074,0.08116577565670013
FR,96,2,0.019235698506236076,0.13869282603263855,0.08093950152397156
FR,168,1,0.02051929198205471,0.14324556291103363,0.08607485145330429
FR,168,2,0.020482137799263,0.1431158185005188,0.08626711368560791
IT,24,1,0.010179038159549236,0.10089121758937836,0.05739111453294754
IT,24,2,0.010212065652012825,0.10105476528406143,0.057342130690813065
IT,96,1,0.018395546823740005,0.13563019037246704,0.08098065108060837
IT,96,2,0.018500106409192085,0.13601510226726532,0.08112388104200363
IT,168,1,0.020744217559695244,0.14402852952480316,0.08732207864522934
IT,168,2,0.02060188353061676,0.14353355765342712,0.08712054044008255
