Country,Pred_len,Iteration,MSE,RMSE,MAE
DE,24,1,0.021704286336898804,0.14732374250888824,0.08911213278770447
DE,24,2,0.02170371823012829,0.14732182025909424,0.08913908898830414
DE,96,1,0.03654782101511955,0.19117484986782074,0.12715986371040344
DE,96,2,0.03678299859166145,0.1917889416217804,0.1279524564743042
DE,168,1,0.039000798016786575,0.19748619198799133,0.134016752243042
DE,168,2,0.03934301435947418,0.19835074245929718,0.13399457931518555
GB,24,1,0.0250152088701725,0.1581619679927826,0.10036629438400269
GB,24,2,0.025240346789360046,0.1588721126317978,0.10037021338939667
GB,96,1,0.042177435010671616,0.2053714543581009,0.14016897976398468
GB,96,2,0.04190800338983536,0.20471444725990295,0.14047887921333313
GB,168,1,0.04433652386069298,0.21056239306926727,0.14593170583248138
GB,168,2,0.04551740735769272,0.21334809064865112,0.147619366645813
ES,24,1,0.009847583249211311,0.09923499077558517,0.059684451669454575
ES,24,2,0.009879634715616703,0.09939634799957275,0.05968191474676132
ES,96,1,0.019069023430347443,0.13809064030647278,0.08853017538785934
ES,96,2,0.019516900181770325,0.1397029012441635,0.0898415744304657
ES,168,1,0.02213168703019619,0.14876721799373627,0.0964147076010704
ES,168,2,0.021381456404924393,0.1462239921092987,0.09540922939777374
FR,24,1,0.010555696673691273,0.10274092108011246,0.05582299828529358
FR,24,2,0.01030768919736147,0.10152678936719894,0.056221429258584976
FR,96,1,0.019298015162348747,0.13891729712486267,0.0820249542593956
FR,96,2,0.019558608531951904,0.13985209167003632,0.08216901123523712
FR,168,1,0.021449226886034012,0.1464555412530899,0.08717583864927292
FR,168,2,0.021966956555843353,0.14821253716945648,0.08873976767063141
IT,24,1,0.010371020995080471,0.10183820873498917,0.05737043917179108
IT,24,2,0.010349241085350513,0.10173121839761734,0.057486966252326965
IT,96,1,0.019425788894295692,0.1393764317035675,0.08298318833112717
IT,96,2,0.018751485273241997,0.13693606853485107,0.08251414448022842
IT,168,1,0.021393058821558952,0.14626365900039673,0.08919727057218552
IT,168,2,0.02149459905922413,0.14661036431789398,0.08945463597774506
