Model,,Persistence,Persistence,Persistence
Metrics,,MSE,MAE,RMSE
Country,Pred_len,,,
DE,24,0.69368,1.16806,0.9807599999999999
DE,96,0.9846199999999999,1.95272,1.30688
DE,168,0.8504799999999999,1.7207000000000001,1.16962
ES,24,0.47186666666666666,0.5187333333333334,0.7031000000000001
ES,96,0.6959666666666666,0.9976333333333334,0.9834333333333335
ES,168,0.6189666666666667,0.9487,0.8869666666666666
FR,24,0.4010666666666667,0.5044,0.6241666666666666
FR,96,0.6261333333333333,1.007,0.8995333333333333
FR,168,0.5412333333333333,0.8847999999999999,0.8264999999999999
GB,24,0.7224600000000001,1.30114,0.9945999999999999
GB,96,0.9709199999999999,2.1166799999999997,1.27714
GB,168,0.9279,2.00884,1.2345000000000002
IT,24,0.4830666666666667,0.6185666666666667,0.7199
IT,96,0.7048666666666668,1.1237,0.9853999999999999
IT,168,0.5458666666666666,0.8296999999999999,0.7842666666666668
