Model,,Informer,Informer,Informer
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.04915,0.2217,0.13265
DE,96,0.06720000000000001,0.2593,0.17095
DE,168,0.0625,0.24915,0.16815
ES,24,0.01815,0.13479999999999998,0.08474999999999999
ES,96,0.0388,0.19685,0.12725
ES,168,0.0429,0.20715,0.13835
FR,24,0.022099999999999998,0.1452,0.07944999999999999
FR,96,0.02305,0.1519,0.09125
FR,168,0.02895,0.17005,0.10445
GB,24,0.045,0.21215,0.1376
GB,96,0.07185,0.26805,0.18275
GB,168,0.0788,0.2807,0.19275
IT,24,0.011349999999999999,0.1064,0.06475
IT,96,0.0213,0.14585,0.09195
IT,168,0.0223,0.14939999999999998,0.0965
