Country,Pred_len,Column,MSE,RMSE,MAE
DE,24,load,0.0181559942351298,0.1347441807097058,0.1154961546632621
DE,24,solar,0.0017576060252579,0.0419238121508283,0.0228174175037986
DE,24,wind,0.0025870676379684,0.0508632248089758,0.0473132397552877
DE,24,wind_offshore,0.0114959164170733,0.1072190114535354,0.0934167488918592
DE,24,wind_onshore,0.002747606145363,0.0524176129307985,0.0445201032273469
DE,96,load,0.0427473878138755,0.2067544142548728,0.1498676340371248
DE,96,solar,0.0160733860807005,0.1267808584948869,0.0805026346110221
DE,96,wind,0.0780666442267739,0.2794040877059138,0.2392259371782886
DE,96,wind_offshore,0.0374733919026049,0.1935804533071584,0.1718081654858743
DE,96,wind_onshore,0.0664365777450983,0.2577529393529749,0.2151253383579456
DE,168,load,0.017061360674168,0.1306191435975907,0.0974873688901357
DE,168,solar,0.0272956872281124,0.165214064861659,0.1102581922823788
DE,168,wind,0.0285548599310441,0.1689818331390808,0.1458490900723045
DE,168,wind_offshore,0.0856803158080964,0.2927120014760182,0.2380443802777993
DE,168,wind_onshore,0.0253196738500801,0.1591215694055339,0.1199524261059324
GB,24,load,0.002974365601351,0.0545377447402348,0.0403090578015182
GB,24,solar,0.0002063166928656,0.0143637283762134,0.013217734786721
GB,24,wind,0.0584486877406031,0.2417616341370217,0.2144586313441201
GB,24,wind_offshore,0.0930288888006651,0.3050063750164332,0.2624292488004006
GB,24,wind_onshore,0.0211114199982923,0.1452976944011581,0.1282579533325016
GB,96,load,0.0134618731479832,0.1160253125312889,0.0912071503066125
GB,96,solar,0.0207172477149059,0.1439348731715352,0.0775901819794879
GB,96,wind,0.1429171330505265,0.3780438242459815,0.3386977099435
GB,96,wind_offshore,0.1057434100365537,0.3251821182607581,0.3085998489697329
GB,96,wind_onshore,0.1324544585174277,0.3639429330505371,0.3217736926956276
GB,168,load,0.0050812018318752,0.0712825492801378,0.052327884991714
GB,168,solar,0.0117123501226154,0.1082236116686901,0.0604890867799402
GB,168,wind,0.0487620446571065,0.2208212957509001,0.194297961860209
GB,168,wind_offshore,0.1133263353145223,0.3366397708449231,0.3046535223869816
GB,168,wind_onshore,0.1010042824598794,0.317811709129603,0.2543900735595867
ES,24,load,0.0444114032254744,0.2107401319765042,0.1918666910135149
ES,24,solar,0.0008631559057313,0.02937951506971,0.0138426969500437
ES,24,wind_onshore,0.0027141766069041,0.0520977600948843,0.041861040279742
ES,96,load,0.0166556640270925,0.1290568247985845,0.0896580331894127
ES,96,solar,0.0423489037808702,0.2057884928290944,0.1150312066484188
ES,96,wind_onshore,0.0734784868896892,0.2710691551794288,0.2439238790396229
ES,168,load,0.0206109917070394,0.1435652872634588,0.1159397828448501
ES,168,solar,0.0929983343581044,0.3049562826998395,0.194922898717808
ES,168,wind_onshore,0.0502113836866425,0.2240789675240462,0.1847582421101177
FR,24,load,0.0105886808014046,0.1029013158390342,0.0931501903035261
FR,24,solar,0.001402518520869,0.0374502138961725,0.0266976227213563
FR,24,wind_onshore,0.0010917947823958,0.0330423180542149,0.0232294643188824
FR,96,load,0.0389370789659905,0.1973248057543464,0.1552694181768155
FR,96,solar,0.0071837721063152,0.0847571360200146,0.0463274835816817
FR,96,wind_onshore,0.0679995821297054,0.2607672949771605,0.22121436934323
FR,168,load,0.0657707633660861,0.2564581123031325,0.2205669107485012
FR,168,solar,0.0264037599561243,0.1624923381459088,0.1034938014438809
FR,168,wind_onshore,0.0789710992873172,0.2810179696875579,0.2373558667902259
IT,24,load,0.0367559102322661,0.1917183095905714,0.1672944499711347
IT,24,solar,0.0054143536164949,0.0735822914599361,0.0422244414389164
IT,24,wind_onshore,0.0084782594860533,0.0920774645939673,0.0754670685222558
IT,96,load,0.0290843966647023,0.1705414807743334,0.1165223739795295
IT,96,solar,0.0089532743956297,0.0946217437782129,0.0517135423346468
IT,96,wind_onshore,0.0590421754712108,0.2429859573539402,0.1950931299377904
IT,168,load,0.0071950094338651,0.0848234014518704,0.0619463709489029
IT,168,solar,0.0298231624807162,0.1726938403091327,0.1096043523545735
IT,168,wind_onshore,0.0793507286509202,0.2816926137670639,0.2197117708536138
