Country,Pred_len,Column,MAE,MSE,RMSE
DE,24,load,0.11549615466326213,0.018155994235129865,0.13474418070970584
DE,24,solar,0.022817417503798624,0.001757606025257945,0.041923812150828375
DE,24,wind,0.04731323975528775,0.0025870676379684127,0.050863224808975815
DE,24,wind_offshore,0.09341674889185925,0.011495916417073362,0.10721901145353543
DE,24,wind_onshore,0.04452010322734699,0.0027476061453630164,0.052417612930798524
DE,96,load,0.14986763403712486,0.04274738781387558,0.20675441425487287
DE,96,solar,0.08050263461102218,0.016073386080700542,0.12678085849488693
DE,96,wind,0.23922593717828863,0.07806664422677398,0.2794040877059138
DE,96,wind_offshore,0.17180816548587438,0.03747339190260494,0.1935804533071584
DE,96,wind_onshore,0.2151253383579456,0.06643657774509835,0.2577529393529749
DE,168,load,0.09748736889013572,0.017061360674168018,0.1306191435975907
DE,168,solar,0.1102581922823788,0.027295687228112465,0.165214064861659
DE,168,wind,0.14584909007230454,0.02855485993104416,0.16898183313908086
DE,168,wind_offshore,0.23804438027779934,0.08568031580809649,0.2927120014760182
DE,168,wind_onshore,0.11995242610593246,0.02531967385008014,0.1591215694055339
GB,24,load,0.04030905780151827,0.002974365601351016,0.054537744740234866
GB,24,solar,0.013217734786721098,0.00020631669286563846,0.014363728376213416
GB,24,wind,0.2144586313441201,0.058448687740603154,0.24176163413702173
GB,24,wind_offshore,0.26242924880040064,0.09302888880066511,0.30500637501643324
GB,24,wind_onshore,0.12825795333250167,0.02111141999829233,0.1452976944011581
GB,96,load,0.09120715030661257,0.01346187314798327,0.11602531253128892
GB,96,solar,0.07759018197948797,0.02071724771490593,0.14393487317153522
GB,96,wind,0.3386977099435,0.14291713305052653,0.3780438242459815
GB,96,wind_offshore,0.30859984896973297,0.1057434100365537,0.32518211826075816
GB,96,wind_onshore,0.32177369269562767,0.13245445851742776,0.36394293305053715
GB,168,load,0.052327884991714084,0.005081201831875281,0.07128254928013784
GB,168,solar,0.0604890867799402,0.011712350122615435,0.1082236116686901
GB,168,wind,0.19429796186020903,0.04876204465710651,0.22082129575090015
GB,168,wind_offshore,0.3046535223869816,0.11332633531452235,0.33663977084492314
GB,168,wind_onshore,0.25439007355958676,0.10100428245987941,0.31781170912960305
ES,24,load,0.19186669101351495,0.04441140322547441,0.2107401319765042
ES,24,solar,0.013842696950043712,0.0008631559057313173,0.029379515069710007
ES,24,wind_onshore,0.041861040279742016,0.0027141766069041263,0.05209776009488437
ES,96,load,0.08965803318941272,0.01665566402709254,0.12905682479858452
ES,96,solar,0.1150312066484188,0.04234890378087027,0.20578849282909448
ES,96,wind_onshore,0.24392387903962295,0.07347848688968928,0.27106915517942887
ES,168,load,0.11593978284485017,0.02061099170703945,0.14356528726345882
ES,168,solar,0.19492289871780807,0.09299833435810442,0.3049562826998395
ES,168,wind_onshore,0.18475824211011774,0.05021138368664256,0.2240789675240462
FR,24,load,0.09315019030352618,0.010588680801404687,0.10290131583903428
FR,24,solar,0.02669762272135634,0.0014025185208690755,0.03745021389617255
FR,24,wind_onshore,0.023229464318882412,0.001091794782395897,0.03304231805421492
FR,96,load,0.15526941817681558,0.03893707896599056,0.19732480575434644
FR,96,solar,0.04632748358168178,0.007183772106315267,0.08475713602001467
FR,96,wind_onshore,0.22121436934323002,0.06799958212970547,0.26076729497716056
FR,168,load,0.22056691074850127,0.06577076336608614,0.25645811230313253
FR,168,solar,0.1034938014438809,0.02640375995612439,0.16249233814590885
FR,168,wind_onshore,0.2373558667902259,0.07897109928731721,0.28101796968755793
IT,24,load,0.1672944499711347,0.03675591023226619,0.19171830959057143
IT,24,solar,0.04222444143891646,0.005414353616494984,0.0735822914599361
IT,24,wind_onshore,0.07546706852225583,0.008478259486053318,0.09207746459396739
IT,96,load,0.11652237397952954,0.029084396664702358,0.17054148077433348
IT,96,solar,0.05171354233464682,0.008953274395629787,0.09462174377821297
IT,96,wind_onshore,0.19509312993779046,0.05904217547121087,0.24298595735394024
IT,168,load,0.06194637094890295,0.007195009433865168,0.0848234014518704
IT,168,solar,0.10960435235457358,0.02982316248071624,0.17269384030913273
IT,168,wind_onshore,0.2197117708536138,0.07935072865092027,0.28169261376706395
