train_loss,valid_loss
0.069345,0.075198
0.067599,0.073210
0.065474,0.071240
0.063460,0.070134
0.062268,0.069776
0.061514,0.069450
0.060771,0.069634
0.060240,0.069451
0.059726,0.069368
0.059236,0.069387
0.058856,0.069115
0.058419,0.069031
0.058011,0.069312
0.057671,0.068774
0.057434,0.069148
0.057223,0.069206
0.057047,0.068819
0.056911,0.068966
0.056847,0.068967
0.056837,0.069016
