train_loss,valid_loss
0.089989,0.084809
0.088957,0.083791
0.087395,0.082878
0.085663,0.081985
0.083972,0.081017
0.082467,0.080290
0.081145,0.080618
0.080164,0.080653
0.079353,0.080997
0.078669,0.081201
0.078192,0.081527
0.077606,0.081984
0.077254,0.081919
0.076912,0.082024
0.076666,0.082031
0.076425,0.082000
0.076254,0.082189
0.076131,0.082014
0.076089,0.082095
0.076092,0.082134
