Country,Pred_len,Column,MSE,RMSE,MAE
DE,24,load,0.00875326814887064,0.08308801216800184,0.0693068523527522
DE,24,solar,0.009451424763709483,0.07843140530657285,0.05582621183473081
DE,24,wind,0.01574940569292313,0.10404714008100437,0.09007767038668632
DE,24,wind_offshore,0.05558828307250772,0.19476531308970746,0.1677117891739719
DE,24,wind_onshore,0.013528240493136539,0.09730323885946397,0.08304882373009836
DE,96,load,0.029140338354563925,0.1496994348219257,0.12559879757834347
DE,96,solar,0.020013300886921246,0.12043996540517005,0.08453557473970198
DE,96,wind,0.049825023185883305,0.19436456200243907,0.16103994902876334
DE,96,wind_offshore,0.1557490328009624,0.3721310008234885,0.30756290640792755
DE,96,wind_onshore,0.041640062744980486,0.17736311802505872,0.14580841355423071
DE,168,load,0.07970059050410074,0.2044983436274931,0.16685248002218306
DE,168,solar,0.024825789714212558,0.13678290831063222,0.09643761435057067
DE,168,wind,0.057550469000770293,0.21260268391743495,0.1772618218839189
DE,168,wind_offshore,0.1658076646798696,0.3880794334696134,0.3214237777134764
DE,168,wind_onshore,0.0498423338883369,0.19731484517106146,0.16376727480871542
ES,24,load,0.0030407426848024876,0.048719813553685036,0.04300694566831332
ES,24,solar,0.01607843344101454,0.10208598787751674,0.07255063552049448
ES,24,wind_onshore,0.02434802938216351,0.13950632552560152,0.12112522587142749
ES,96,load,0.008358454010776166,0.07798452539057266,0.0660623645882438
ES,96,solar,0.024887759794515463,0.13896417197462527,0.09158361003846695
ES,96,wind_onshore,0.05011939172853341,0.20815395835169434,0.17891132976600183
ES,168,load,0.025744047552195868,0.13941691380332608,0.10902922748360656
ES,168,solar,0.03843267153745888,0.1712529614276639,0.11233072026730954
ES,168,wind_onshore,0.05403750981425407,0.217652138996396,0.18621648645682848
FR,24,load,0.0014332164429762412,0.030691556840102316,0.02592597317894424
FR,24,solar,0.006949038509639339,0.07014593580605226,0.044855515362716585
FR,24,wind_onshore,0.02382102447771066,0.1272256609728536,0.11092405560354605
FR,96,load,0.0044194683291532075,0.05551758847305022,0.04671135194679043
FR,96,solar,0.012113280520808815,0.10265422648640164,0.06243795707561391
FR,96,wind_onshore,0.06115459755828858,0.2180833122249383,0.18504464749926594
FR,168,load,0.011716981914420615,0.0932768918628238,0.07476595860389768
FR,168,solar,0.016623254375347327,0.1181108615859691,0.07186041174615863
FR,168,wind_onshore,0.06959481127438495,0.23534429629411427,0.19831422765809895
GB,24,load,0.004174634922207448,0.06000011681443785,0.05165295390972472
GB,24,solar,0.01366039752926524,0.09705636078980931,0.0699381596345445
GB,24,wind,0.045005464572258944,0.17460281572953767,0.1490700442619222
GB,24,wind_offshore,0.08094777354882204,0.2445803613813145,0.204674360339146
GB,24,wind_onshore,0.03203712883614449,0.14417411343755637,0.12539032184525173
GB,96,load,0.010017407727318819,0.09373054662776818,0.08100105215297096
GB,96,solar,0.02333227830115724,0.13275033801545524,0.09451772596398497
GB,96,wind,0.08616914745924432,0.2686634178599363,0.22447798542729783
GB,96,wind_offshore,0.1518655961678411,0.3627165175649211,0.29978657805745235
GB,96,wind_onshore,0.056813383422174,0.21850664946970216,0.18449615986152051
GB,168,load,0.019669606740968567,0.11488511439364371,0.0966512548537508
GB,168,solar,0.026465454220211296,0.14615839544614878,0.1037865483267902
GB,168,wind,0.08494297736769127,0.2765896753698656,0.22603188861881637
GB,168,wind_offshore,0.16121771856631825,0.3786996038638474,0.3096225412227934
GB,168,wind_onshore,0.0522300363294595,0.21712132901402864,0.17806717298662142
IT,24,load,0.0034717686386554892,0.05084547486072021,0.04321442511654287
IT,24,solar,0.004577156192058544,0.05595957935707617,0.03440235340798084
IT,24,wind_onshore,0.03262969050875275,0.15249188523017035,0.1316903013436714
IT,96,load,0.008275271053693592,0.08021756098970877,0.06681640900332825
IT,96,solar,0.008005874783427042,0.07902158552547589,0.04615045707125868
IT,96,wind_onshore,0.06445089144761411,0.23447415052405846,0.19703785077701128
IT,168,load,0.025177163879569902,0.14617379680497952,0.10997201805220327
IT,168,solar,0.010364716766274144,0.09099329211547569,0.053524887754355766
IT,168,wind_onshore,0.0787130797922511,0.259964639518601,0.21928841142009306
